pk,addrnm
"141","인천광역시 검단구 서로2로 62"
"142","인천광역시 검단구 서로3로 201"
"143","인천광역시 검단구 서로3로 201"
"144","인천광역시 검단구 서로3로 201"
"145","인천광역시 검단구 서로3로 225"
"146","인천광역시 검단구 서로3로 255"
"147","인천광역시 검단구 서로3로 49"
"148","인천광역시 검단구 서로3로 50"
"149","인천광역시 검단구 서로3로 60"
"150","인천광역시 검단구 서로4로 89"
"151","인천광역시 검단구 이음3로 101"
"152","인천광역시 검단구 정서진8로 5(경서동)"
"153","인천광역시 검단구 정서진9로 11"
"154","인천광역시 검단구 정서진로 117 (경서동)"
"155","인천광역시 검단구 정서진로 410"
"156","인천광역시 검단구 청마로 124"
"157","인천광역시 검단구 청마로 170"
"158","인천광역시 검단구 청마로 38"
"159","인천광역시 검단구 청마로 52"
"160","인천광역시 검단구 청마로 52"
"161","인천광역시 검단구 청마로 55"
"162","인천광역시 검단구 청마로 92"
"163","인천광역시 검단구 청마로19번길 5"
"164","인천광역시 검단구 한들로 33"
"165","인천광역시 검단구 한들로 73"
"166","인천광역시 검단구 환경로 42"
"167","인천광역시 검단구 환경로 42"
"168","인천광역시 검단구 환경로 42"
"169","인천광역시 검단구 환경로 42"
